status,title,mal_score,mal_ranking,num_chap,mal_popularity,num_vol,authors,mal_url
Publishing,Esterio no Kanrinin: Saikyou Yuusha datta Ore no Bishoujo Coaching Life,8.67,27293,Unknown,31775,Unknown,"Komeshiro,Kasu|Hara,Raika",https://myanimelist.net/manga/100328/Esterio_no_Kanrinin__Saikyou_Yuusha_datta_Ore_no_Bishoujo_Coaching_Life
Finished,Shinmai Shachou no Perfect Game,9.00,24051,20,31719,3,"Tsugawa,Tomotaka|Kuroemon",https://myanimelist.net/manga/87904/Shinmai_Shachou_no_Perfect_Game
Finished,Maou Gakkou ni Ore dake Yuusha!?,8.00,21331,54,31656,10,"Natsu,Midori|Akashio",https://myanimelist.net/manga/66961/Maou_Gakkou_ni_Ore_dake_Yuusha
Finished,18-kin Otome Game no Sekai de Harem Shuuchaku Saremashita,3.00,27365,9,31776,1,"Yuzuhara,Tail|Honda,Tamanosuke",https://myanimelist.net/manga/100520/18-kin_Otome_Game_no_Sekai_de_Harem_Shuuchaku_Saremashita
Finished,Samurai Girl,6.00,N/A,40,31653,6,"Mikazuki,Kougetsu|Yukirin",https://myanimelist.net/manga/65625/Samurai_Girl
Finished,Joshi Mote na Imouto to Junan na Ore,8.33,20329,48,31632,9,"Natsu,Midori|Gin",https://myanimelist.net/manga/57413/Joshi_Mote_na_Imouto_to_Junan_na_Ore
Finished,Happiness!,8.25,N/A,Unknown,31702,1,"Ko~cha|Windmill|Kageyama,Nikaidou",https://myanimelist.net/manga/82703/Happiness
Finished,Idol to Harem,6.29,22511,15,31685,1,"Takana,Yuuki",https://myanimelist.net/manga/78551/Idol_to_Harem
Finished,Boku wa Yappari Kizukanai,8.75,20532,54,31637,6,"Nozomi,Kota|Takatsuki,Ichi",https://myanimelist.net/manga/59397/Boku_wa_Yappari_Kizukanai
Finished,Amatou!,7.50,20853,15,31645,3,"Yayoi,Shirou|p-nut",https://myanimelist.net/manga/62699/Amatou
Finished,Ran☆Koi: Konyakusha wa 16-nin!?,9.00,20187,32,31347,5,"Tokunou,Shoutarou|Maisaka,Kou",https://myanimelist.net/manga/56441/Ran☆Koi__Konyakusha_wa_16-nin
Finished,Sex Life,7.67,N/A,Unknown,31390,1,"Toshihide,Sano|Amakusa,Shiro|Good Job?",https://myanimelist.net/manga/73079/Sex_Life
Finished,Nekuroma.,10.00,20346,41,31351,7,"Hirasaka,Yomi|Jirou",https://myanimelist.net/manga/57521/Nekuroma
Finished,Offline Game,6.20,25404,64,31460,8,Emua,https://myanimelist.net/manga/93098/Offline_Game
Publishing,Maou-sama to Iku! One Rank-ue no Isekai Tour!!,10.00,27869,Unknown,31485,Unknown,"Nekomata,Nuko|U35",https://myanimelist.net/manga/102086/Maou-sama_to_Iku_One_Rank-ue_no_Isekai_Tour
Publishing,Nekogami Tama,4.00,17689,Unknown,31285,Unknown,"Hase,Yuu",https://myanimelist.net/manga/21705/Nekogami_Tama
Finished,Kotemari-sou wa Makki desu. ......Kuwashiku.,9.00,20290,15,31350,3,"Won|Tsukishima,Masaya",https://myanimelist.net/manga/57103/Kotemari-sou_wa_Makki_desu_Kuwashiku
